inp 2 50: (820.0000, 300.0000) circulo
inp 2 51: (794.9606, 400.1589) circulo
inp 2 52: (732.2642, 480.2126) circulo
inp 2 53: (643.7778, 527.0647) circulo
inp 2 54: (545.4358, 533.7126) circulo
inp 2 55: (454.3750, 500.2684) circulo
inp 2 56: (385.9486, 433.7211) circulo
inp 2 57: (351.1395, 346.5202) circulo
inp 2 58: (354.8075, 254.2594) circulo
inp 2 59: (395.0501, 172.8914) circulo
inp 2 60: (463.7500, 115.9696) circulo
inp 2 61: (548.1797, 92.3936) circulo
inp 2 62: (633.3485, 105.0334) circulo
inp 2 63: (704.6625, 150.4421) circulo
inp 2 64: (750.4252, 219.6695) circulo
inp 2 65: (763.7500, 300.0000) circulo
inp 2 66: (743.5736, 377.2800) circulo
inp 2 67: (694.6256, 438.4107) circulo
inp 2 68: (626.3956, 473.5678) circulo
inp 2 69: (551.3155, 477.7708) circulo
inp 2 70: (482.5000, 451.5544) circulo
inp 2 71: (431.4558, 400.6582) circulo
inp 2 72: (406.1603, 334.8252) circulo
inp 2 73: (409.8283, 265.9545) circulo
inp 2 74: (440.5573, 205.9544) circulo
inp 2 75: (491.8750, 164.6835) circulo
inp 2 76: (554.0594, 148.3354) circulo
inp 2 77: (615.9663, 158.5303) circulo
inp 2 78: (667.0239, 192.2440) circulo
inp 2 79: (699.0383, 242.5484) circulo
inp 2 80: (676.1997, 252.7169) circulo
inp 2 81: (650.2957, 210.8226) circulo
inp 2 82: (608.2409, 182.3068) circulo
inp 2 83: (556.6726, 173.1985) circulo
inp 2 84: (504.3750, 186.3342) circulo
inp 2 85: (460.7827, 220.6490) circulo
inp 2 86: (434.2820, 271.1523) circulo
inp 2 87: (430.6140, 329.6274) circulo
inp 2 88: (451.6813, 385.9636) circulo
inp 2 89: (495.0000, 429.9038) circulo
inp 2 90: (553.9287, 452.9077) circulo
inp 2 91: (618.6702, 449.7914) circulo
inp 2 92: (677.8973, 419.8321) circulo
inp 2 93: (720.7350, 367.1115) circulo
inp 2 94: (738.7500, 300.0000) circulo
inp 2 95: (727.5866, 229.8379) circulo
inp 2 96: (687.9343, 169.0207) circulo
inp 2 97: (625.6231, 128.8098) circulo
inp 2 98: (550.7929, 117.2566) circulo
inp 2 99: (476.2500, 137.6202) circulo
inp 2 100: (415.2755, 187.5861) circulo
inp 2 101: (379.2612, 259.4572) circulo
inp 2 102: (375.5932, 341.3224) circulo
inp 2 103: (406.1741, 419.0265) circulo
inp 2 104: (466.8750, 478.6177) circulo
inp 2 105: (548.0490, 508.8496) circulo
inp 2 106: (636.0524, 503.2883) circulo
inp 2 107: (715.5359, 461.6340) circulo
inp 2 108: (772.1219, 389.9905) circulo
inp 2 109: (795.0000, 300.0000) circulo
