inp 2 10: (140.0000, 65.0000) retangulo
inp 2 11: (130.3092, 93.1815) retangulo
inp 2 12: (109.7675, 112.8534) retangulo
inp 2 13: (83.7955, 120.5328) retangulo
inp 2 14: (58.5294, 115.6913) retangulo
inp 2 15: (39.3795, 100.6205) retangulo
inp 2 16: (29.8724, 79.6629) retangulo
inp 2 17: (31.0232, 58.0348) retangulo
inp 2 18: (41.3449, 40.5481) retangulo
inp 2 19: (57.4419, 30.5403) retangulo
inp 2 20: (60.3929, 36.3319) retangulo
inp 2 21: (46.6035, 44.3687) retangulo
inp 2 22: (37.4432, 59.0516) retangulo
inp 2 23: (36.0542, 77.6542) retangulo
inp 2 24: (43.9757, 96.0243) retangulo
inp 2 25: (60.5380, 109.5094) retangulo
inp 2 26: (82.7787, 114.1128) retangulo
inp 2 27: (105.9469, 107.5947) retangulo
inp 2 28: (124.5177, 90.2305) retangulo
inp 2 29: (133.5000, 65.0000) retangulo
rmp 2: (140.0000, 65.0000)
