inp 2 10: (115.0000, 60.0000) texto
inp 2 11: (114.0061, 70.4088) texto
inp 2 12: (111.0602, 80.4414) texto
inp 2 13: (106.2689, 89.7352) texto
inp 2 14: (99.8054, 97.9543) texto
inp 2 15: (91.9031, 104.8017) texto
inp 2 16: (82.8478, 110.0298) texto
inp 2 17: (72.9667, 113.4496) texto
inp 2 18: (62.6170, 114.9377) texto
inp 2 19: (52.1727, 114.4402) texto
inp 2 20: (42.0113, 111.9750) texto
inp 2 21: (32.5000, 107.6314) texto
inp 2 22: (23.9827, 101.5662) texto
inp 2 23: (16.7671, 93.9987) texto
inp 2 24: (11.1141, 85.2025) texto
inp 2 25: (7.2279, 75.4953) texto
inp 2 26: (5.2490, 65.2281) texto
inp 2 27: (5.2490, 54.7719) texto
inp 2 28: (7.2279, 44.5047) texto
inp 2 29: (11.1141, 34.7975) texto
inp 2 30: (16.7671, 26.0013) texto
inp 2 31: (23.9827, 18.4338) texto
inp 2 32: (32.5000, 12.3686) texto
inp 2 33: (42.0113, 8.0250) texto
inp 2 34: (52.1727, 5.5598) texto
inp 2 35: (62.6170, 5.0623) texto
inp 2 36: (72.9667, 6.5504) texto
inp 2 37: (82.8478, 9.9702) texto
inp 2 38: (91.9031, 15.1983) texto
inp 2 39: (99.8054, 22.0457) texto
inp 2 40: (106.2689, 30.2648) texto
inp 2 41: (111.0602, 39.5586) texto
inp 2 42: (114.0061, 49.5912) texto
rmp 2: (115.0000, 60.0000)
