inp 2 10: (115.0000, 60.0000) texto
inp 2 11: (101.1095, 78.3031) texto
inp 2 12: (96.8022, 100.8730) texto
inp 2 13: (73.9058, 102.7975) texto
inp 2 14: (54.2509, 114.6987) texto
inp 2 15: (37.5000, 98.9711) texto
inp 2 16: (15.5041, 92.3282) texto
inp 2 17: (15.9834, 69.3560) texto
inp 2 18: (6.2019, 48.5649) texto
inp 2 19: (23.5942, 33.5497) texto
inp 2 20: (32.5000, 12.3686) texto
inp 2 21: (55.2962, 15.2465) texto
inp 2 22: (76.9959, 7.6919) texto
inp 2 23: (90.1109, 26.5585) texto
inp 2 24: (110.2450, 37.6295) texto
rmp 2: (115.0000, 60.0000)
